iter|name|node_count|density|distribution_name|mean|std|skewness|execution_time|Deltas|deltas
0|cs_heap|25|0.2|normal|1000|500|-10|0.03124237060546875|[128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 78, 53, 53, 34, 13, 13, 12, 1, 1]|[886.0, 869.0, 899.0, 545.0, 189.0, 346.0, 626.0, 344.0, 140.0, 301.0, 568.0, 342.0, 639.0, 990.0, 422.0, 197.0, 321.0, 362.0, 410.0, 577.0, 176.0, 137.0, 696.0, 302.0, 575.0, 306.0, 129.0, 431.0, False, False, 53.0, False, False, 13.0, False, False, 5.0, False]
0|cs_noheap|25|0.2|normal|1000|500|-10|0.0|[128.0, 64, 32, 16, 8, 4, 2, 1]|[False, False, False, False, False, False, False, False]
1|cs_heap|25|0.2|normal|1000|500|10|0.04690194129943848|[128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 46, 46, 27, 18, 1, 1]|[1626.0, 1163.0, 1359.0, 1158.0, 1708.0, 1049.0, 1473.0, 1008.0, 1789.0, 1125.0, 1075.0, 1202.0, 1089.0, 1245.0, 1127.0, 1032.0, 1260.0, 221.0, 695.0, 636.0, 210.0, 458.0, 334.0, 219.0, 130.0, 537.0, 1001.0, 283.0, 312.0, 158.0, 166.0, 224.0, 345.0, False, 46.0, False, False, False, 5.0, False]
1|cs_noheap|25|0.2|normal|1000|500|10|0.0|[128.0, 64, 32, 16, 8, 4, 2, 1]|[False, False, False, False, False, False, False, False]
2|cs_heap|25|0.2|normal|1000|500|0|0.046868085861206055|[128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 51, 51, 51, 40, 32, 32, 22, 11, 1, 1]|[159.0, 427.0, 1233.0, 881.0, 616.0, 698.0, 503.0, 869.0, 921.0, 462.0, 579.0, 609.0, 161.0, 1274.0, 1087.0, 233.0, 180.0, 942.0, 1158.0, 634.0, 679.0, 378.0, 224.0, 260.0, 184.0, 180.0, 291.0, 547.0, 568.0, 223.0, False, 57.0, 93.0, False, False, 32.0, False, False, False, 5.0, False]
2|cs_noheap|25|0.2|normal|1000|500|0|0.015622377395629883|[128.0, 64, 32, 16, 8, 4, 2, 1]|[False, False, False, False, False, False, False, False]
3|cs_heap|25|0.2|normal|50|30|-10|0.03125905990600586|[16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 8, 4, 3, 3, 2, 2, 1]|[25.0, 44.0, 33.0, 42.0, 16.0, 16.0, 29.0, 45.0, 45.0, 34.0, 44.0, 25.0, 27.0, 16.0, 16.0, 21.0, 20.0, 25.0, 29.0, False, False, False, 3.0, False, 2.0, False, False]
3|cs_noheap|25|0.2|normal|50|30|-10|0.0|[16.0, 8, 4, 2, 1]|[False, False, False, False, False]
4|cs_heap|25|0.2|normal|50|30|10|0.031246423721313477|[16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 8, 8, 8, 8, 8, 5, 5, 2, 2, 2, 2, 1]|[62.0, 56.0, 51.0, 52.0, 51.0, 91.0, 56.0, 64.0, 74.0, 69.0, 71.0, 86.0, 89.0, 59.0, 52.0, 75.0, 53.0, 77.0, 54.0, 60.0, 29.0, 30.0, 36.0, 23.0, 21.0, False, 15.0, 11.0, 8.0, 10.0, False, 5.0, False, 4.0, 2.0, 2.0, False, False]
4|cs_noheap|25|0.2|normal|50|30|10|0.0|[16.0, 8, 4, 2, 1]|[False, False, False, False, False]
5|cs_heap|25|0.2|normal|50|30|0|0.04687047004699707|[32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 18, 18, 18, 18, 18, 18, 18, 18, 8, 8, 8, 8, 8, 8, 3, 3, 2, 1, 1]|[37.0, 41.0, 51.0, 61.0, 60.0, 51.0, 42.0, 37.0, 68.0, 37.0, 37.0, 37.0, 32.0, 34.0, 63.0, 36.0, False, 27.0, 19.0, 22.0, 30.0, 18.0, 18.0, 19.0, False, 8.0, 8.0, 11.0, 8.0, 11.0, False, 6.0, False, False, 1.0, False]
